,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical,left
89,0.1,0.79,0.8000000000000002,0.911214953271028,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
90,0.4,0.5,0.0,0.15887850467289721,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
91,0.89,1.0,0.6,0.7009345794392524,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
92,0.42,0.48,0.0,0.21962616822429903,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
93,0.46,0.55,0.0,0.15420560747663548,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
94,0.09,0.83,0.8000000000000002,0.7429906542056074,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
95,0.37,0.51,0.0,0.2757009345794392,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
96,0.1,0.77,0.8000000000000002,0.7897196261682243,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
97,0.1,0.84,0.8000000000000002,0.8551401869158878,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
98,0.11,0.97,0.8000000000000002,0.8785046728971962,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
99,0.9,1.0,0.6,0.5841121495327103,0.5,0,0,2,0,0,0,0,0,0,1,0,0,1
100,0.38,0.52,0.0,0.2710280373831776,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
101,0.36,0.52,0.0,0.23831775700934577,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
102,0.42,0.46,0.0,0.25233644859813087,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
103,0.09,0.94,1.0,0.7990654205607476,0.25,0,0,2,0,0,0,0,0,0,1,0,0,1
104,0.43,0.52,0.0,0.28971962616822433,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
105,0.24,0.46,1.0,0.5981308411214953,0.375,0,0,2,0,1,0,0,0,0,0,0,0,1
106,0.91,1.0,0.4,0.7523364485981309,0.375,0,0,2,0,1,0,0,0,0,0,0,0,1
107,0.44,0.5,0.0,0.2429906542056075,0.125,0,0,2,0,1,0,0,0,0,0,0,0,1
108,0.71,0.87,0.20000000000000007,0.37850467289719625,0.25,0,0,2,0,0,1,0,0,0,0,0,0,1
109,0.4,0.49,0.0,0.2757009345794392,0.125,0,0,2,0,0,1,0,0,0,0,0,0,1
110,0.43,0.47,0.0,0.22429906542056077,0.125,0,0,2,0,0,1,0,0,0,0,0,0,1
111,0.09,0.85,0.8000000000000002,0.9018691588785047,0.25,0,0,0,0,0,1,0,0,0,0,0,0,1
112,0.43,0.52,0.0,0.2990654205607477,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
113,0.9,0.96,0.4,0.7570093457943924,0.375,0,0,2,0,0,0,0,0,0,0,0,1,1
114,0.84,1.0,0.6,0.6448598130841122,0.375,0,0,2,0,0,0,0,0,0,0,0,1,1
115,0.37,0.48,0.0,0.19158878504672894,0.125,0,0,2,0,0,0,0,0,0,0,0,1,1
116,0.86,0.68,0.6,0.7803738317757009,0.0,0,0,2,0,0,0,0,0,0,0,0,1,1
117,0.11,0.84,0.8000000000000002,0.7242990654205607,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
118,0.37,0.57,0.0,0.1728971962616822,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
119,0.4,0.46,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
120,0.14,0.62,0.4,0.28971962616822433,0.25,1,0,1,0,0,0,0,0,0,0,0,1,1
121,0.4,0.46,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
122,0.75,1.0,0.4,0.5607476635514018,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1
123,0.11,0.84,0.8000000000000002,0.9532710280373832,0.375,1,0,1,0,0,0,0,0,0,0,1,0,1
124,0.46,0.49,0.0,0.19626168224299068,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
125,0.11,0.92,0.8000000000000002,0.7663551401869159,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
126,0.38,0.49,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
127,0.7,0.89,0.20000000000000007,0.40654205607476634,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
128,0.09,0.82,0.8000000000000002,0.7196261682242991,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
129,0.37,0.45,0.0,0.2570093457943925,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
130,0.1,0.83,0.8000000000000002,0.9158878504672897,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
131,0.38,0.57,0.0,0.20560747663551404,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
132,0.9,1.0,0.6,0.5841121495327103,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
133,0.44,0.51,0.0,0.19626168224299068,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
134,0.36,0.5,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
135,0.31,0.84,1.0,0.1728971962616822,0.375,0,0,1,0,0,0,0,0,0,0,0,1,1
136,0.1,0.84,0.8000000000000002,0.8738317757009345,0.25,1,0,1,0,0,0,0,0,0,0,0,1,1
137,0.42,0.48,0.0,0.15420560747663548,0.125,0,0,1,0,0,0,1,0,0,0,0,0,1
138,0.74,1.0,0.4,0.7149532710280374,0.375,0,0,1,0,0,0,0,0,0,0,0,0,1
139,0.73,0.87,0.6,0.7523364485981309,0.375,0,0,1,0,0,0,0,0,0,0,0,0,1
140,0.09,0.96,0.8000000000000002,0.6962616822429907,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1
141,0.45,0.53,0.0,0.2757009345794392,0.125,0,0,1,0,0,0,0,0,0,0,0,0,1
142,0.11,0.8,0.8000000000000002,0.7476635514018691,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1
143,0.37,0.47,0.0,0.26168224299065423,0.125,0,0,1,0,0,0,0,0,1,0,0,0,1
144,0.84,0.99,0.4,0.7990654205607476,0.375,0,0,1,0,0,0,0,0,1,0,0,0,1
145,0.41,0.46,0.0,0.2570093457943925,0.125,0,0,1,0,0,0,0,0,1,0,0,0,1
146,0.76,0.92,0.4,0.6682242990654205,0.375,0,0,1,0,0,0,0,0,1,0,0,0,1
147,0.11,0.87,0.8000000000000002,0.9813084112149532,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1
148,0.84,0.88,0.4,0.7803738317757009,0.375,1,0,1,0,0,0,0,1,0,0,0,0,1
149,0.39,0.5,0.0,0.23831775700934577,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
150,0.11,0.91,0.8000000000000002,0.850467289719626,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1
151,0.45,0.56,0.0,0.2710280373831776,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
152,0.37,0.52,0.0,0.21962616822429903,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
153,0.4,0.52,0.0,0.2757009345794392,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
154,0.39,0.48,0.0,0.2990654205607477,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
155,0.11,0.8,0.8000000000000002,0.9719626168224299,0.25,0,0,1,0,1,0,0,0,0,0,0,0,1
156,0.83,1.0,0.6,0.6728971962616822,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
157,0.11,0.92,0.8000000000000002,0.9766355140186916,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
158,0.39,0.5,0.0,0.1869158878504673,0.125,0,0,1,0,0,0,1,0,0,0,0,0,1
159,0.45,0.45,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
160,0.1,0.95,1.0,0.9579439252336449,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1
161,0.9,0.98,0.6,0.6869158878504672,0.5,0,0,1,0,0,0,0,1,0,0,0,0,1
162,0.45,0.51,0.0,0.23831775700934577,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
163,0.79,0.89,0.6,0.6682242990654205,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
164,0.9,0.99,0.6,0.7663551401869159,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
165,0.11,0.84,1.0,0.9345794392523364,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
166,0.43,0.55,0.0,0.15420560747663548,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
167,0.31,0.54,0.6,0.16822429906542058,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
169,0.45,0.57,0.4,0.7616822429906541,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
170,0.81,0.99,0.0,0.2990654205607477,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
171,0.41,0.46,1.0,0.850467289719626,0.25,0,1,1,0,0,0,0,0,0,1,0,0,1
172,0.11,0.78,0.8000000000000002,0.8785046728971962,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
173,0.1,0.88,0.0,0.8317757009345793,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
174,0.7,0.53,0.4,0.31775700934579443,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1
175,0.54,0.74,0.0,0.2429906542056075,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
176,0.41,0.48,0.0,0.20560747663551404,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
177,0.38,0.5,0.0,0.14485981308411222,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
178,0.37,0.51,0.8000000000000002,0.9906542056074766,0.375,0,0,2,0,0,0,0,0,0,1,0,0,1
179,0.11,0.85,0.0,0.23364485981308414,0.125,0,0,2,0,0,0,0,0,0,1,0,0,1
180,0.4,0.47,0.8000000000000002,0.7710280373831776,0.25,0,0,2,0,0,0,0,0,0,1,0,0,1
181,0.1,0.84,0.6,0.7523364485981309,0.375,0,0,2,0,1,0,0,0,0,0,0,0,1
182,0.89,0.99,0.8000000000000002,0.883177570093458,0.25,0,0,2,0,1,0,0,0,0,0,0,0,1
183,0.11,0.8,0.0,0.21028037383177567,0.125,0,0,2,0,1,0,0,0,0,0,0,0,1
184,0.36,0.55,0.0,0.14485981308411222,0.125,0,0,2,0,0,1,0,0,0,0,0,0,1
185,0.4,0.46,0.8000000000000002,0.9392523364485982,0.25,0,0,2,0,0,1,0,0,0,0,0,0,1
186,0.09,0.85,0.0,0.21962616822429903,0.125,0,0,2,0,0,1,0,0,0,0,0,0,1
187,0.4,0.46,0.0,0.26168224299065423,0.125,0,0,2,0,0,1,0,0,0,0,0,0,1
188,0.37,0.55,0.0,0.28037383177570097,0.125,0,0,2,0,0,0,0,0,0,0,0,1,1
189,0.44,0.51,1.0,0.8738317757009345,0.375,0,0,0,0,0,0,0,0,0,0,0,1,1
190,0.09,0.8,0.4,0.6074766355140188,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1
191,0.92,0.87,0.4,0.6355140186915887,0.375,1,0,2,0,0,0,0,0,0,0,0,1,1
192,0.74,0.91,0.8000000000000002,0.7149532710280374,0.25,0,0,2,0,0,0,0,0,0,0,0,1,1
193,0.09,0.82,0.4,0.836448598130841,0.375,0,0,2,0,0,0,0,0,0,0,0,1,1
194,0.89,0.95,0.8000000000000002,0.9719626168224299,0.25,0,0,2,0,0,0,0,0,0,0,0,1,1
195,0.09,0.8,1.0,0.850467289719626,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
196,0.27,0.54,0.8000000000000002,0.8925233644859812,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
197,0.1,0.91,1.0,0.883177570093458,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
198,0.1,0.89,0.6,0.6074766355140188,0.5,0,0,1,0,0,0,0,0,0,0,0,1,1
199,0.77,0.94,0.6,0.7616822429906541,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
200,0.9,0.82,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
201,0.39,0.5,0.6,0.5747663551401868,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
202,0.76,1.0,0.8000000000000002,0.7476635514018691,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
203,0.1,0.93,0.6,0.7383177570093459,0.5,0,0,1,0,0,0,0,0,0,0,1,0,1
204,0.87,0.9,0.0,0.26635514018691586,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
205,0.38,0.5,0.6,0.616822429906542,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
206,0.77,0.99,0.4,0.616822429906542,0.375,0,0,1,0,0,0,0,0,0,0,1,0,1
207,0.78,0.87,0.0,0.14953271028037385,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
208,0.44,0.5,0.0,0.26635514018691586,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
209,0.38,0.52,0.0,0.28037383177570097,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
210,0.43,0.46,0.4,0.925233644859813,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
211,0.39,0.5,0.6,0.5747663551401868,0.375,0,0,1,0,0,0,0,0,0,0,0,1,1
212,0.88,1.0,0.0,0.26635514018691586,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
213,0.45,0.46,0.0,0.2570093457943925,0.125,0,0,1,0,0,0,1,0,0,0,0,0,1
214,0.4,0.53,0.0,0.2757009345794392,0.125,0,0,1,0,0,0,0,0,0,0,0,0,1
215,0.36,0.51,0.0,0.28971962616822433,0.125,0,0,1,0,0,0,0,0,0,0,0,0,1
216,0.36,0.48,0.6,0.6962616822429907,0.375,0,0,1,0,0,0,0,0,0,0,0,0,1
217,0.9,0.98,0.0,0.16355140186915884,0.125,0,0,1,0,0,0,0,0,0,0,0,0,1
218,0.43,0.53,0.6,0.602803738317757,0.375,0,0,1,0,0,0,0,0,0,0,0,0,1
219,0.89,0.87,0.8000000000000002,0.8878504672897195,0.25,0,0,1,0,0,0,0,0,1,0,0,0,1
220,0.1,0.84,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,1,0,0,0,1
221,0.37,0.5,0.0,0.26635514018691586,0.125,0,0,1,0,0,0,0,0,1,0,0,0,1
222,0.37,0.51,0.6,0.7289719626168224,0.375,0,0,1,0,0,0,0,0,1,0,0,0,1
223,0.87,0.9,0.0,0.24766355140186913,0.125,0,0,1,0,0,0,0,0,0,0,0,0,1
224,0.4,0.56,0.4,0.7570093457943924,0.375,0,0,1,0,1,0,0,0,0,0,0,0,1
225,0.9,0.97,0.0,0.28971962616822433,0.125,0,0,1,0,1,0,0,0,0,0,0,0,1
226,0.37,0.46,0.0,0.24766355140186913,0.125,0,0,1,0,0,1,0,0,0,0,0,0,1
227,0.44,0.54,0.6,0.6542056074766355,0.375,0,0,1,0,0,1,0,0,0,0,0,0,1
228,0.85,0.95,0.6,0.6682242990654205,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1
229,0.78,0.98,0.0,0.29439252336448596,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
230,0.42,0.47,0.6,0.7429906542056074,0.5,0,0,1,0,0,0,0,1,0,0,0,0,1
231,0.92,0.99,0.8000000000000002,0.6915887850467289,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
232,0.11,0.83,0.0,0.17757009345794394,0.125,0,0,1,0,1,0,0,0,0,0,0,0,1
233,0.42,0.56,0.4,0.8130841121495326,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
234,0.48,0.57,0.4,0.7429906542056074,0.375,0,0,1,0,0,0,0,0,0,0,0,1,1
235,0.83,0.85,0.0,0.2570093457943925,0.125,0,0,1,0,0,0,1,0,0,0,0,0,1
236,0.4,0.53,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
237,0.43,0.45,0.0,0.23364485981308414,0.125,0,0,1,0,0,0,0,1,0,0,0,0,1
238,0.43,0.53,1.0,0.7383177570093459,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1
239,0.1,0.97,1.0,0.9018691588785047,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
240,0.1,0.87,0.0,0.28037383177570097,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
241,0.37,0.46,0.0,0.28037383177570097,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
242,0.38,0.53,0.0,0.14953271028037385,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
243,0.4,0.5,0.6,0.836448598130841,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
244,0.89,0.86,0.0,0.2757009345794392,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
245,0.45,0.46,0.0,0.29439252336448596,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
246,0.37,0.48,0.0,0.2429906542056075,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
247,0.46,0.49,0.4,0.616822429906542,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
248,0.87,0.91,0.8000000000000002,0.9439252336448597,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
249,0.11,0.84,0.6,0.7710280373831776,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
250,0.79,0.87,0.6,0.7383177570093459,0.5,0,0,1,0,0,0,0,0,0,1,0,0,1
251,0.79,0.92,1.0,0.44859813084112143,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
252,0.19,0.59,0.4,0.7102803738317757,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
253,0.87,0.98,0.0,0.7570093457943924,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
254,0.6,0.92,0.0,0.28037383177570097,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
255,0.44,0.45,0.8000000000000002,0.7943925233644858,0.25,0,0,2,0,0,0,0,0,0,1,0,0,1
256,0.11,0.81,0.0,0.28037383177570097,0.125,1,0,2,0,0,0,0,0,0,1,0,0,1
